Ingredient	Count in HER
15 bean soup mix	0
300-500 whole auks	0
A1 steak sauce	35
Abalone	78
Aburaage	0
Acacia Gum	140
Acacia pennata	0
Açaí pulp	0
Aceite	718
Acetic acid	27306
Achiote	5
Achiote oil	0
Acid	1129265
Acid (citric acid)	777
Acidic substance	38
Acidity regulator	2
Acidity regulator (citric acid)	1
Acidity Regulators	1
Acini di pepe	1
Acini di pepe pasta	1
Ackee	13
Acorn noodles	0
Acorn starch	1
Active dry yeast	3
Active yeast	529
Açúcar	0
Adipic Acid	1651
Adobo seasoning	4
Advieh (Persian spice mix)	0
Adzuki bean paste	0
Adzuki beans	36
African birdseye chili peppers	0
African spices	1
Agar	1055
agar agar	48
Agar agar jelly	0
Agar agar powder	0
Agar powder	0
Agua	3737
Agwi (monkfish)	0
Ahi tuna	105
Aioli	60
Air	1485522
Aiyu seeds	0
Aji amarillo	0
Aji amarillo (yellow chili pepper)	0
Aji amarillo paste	0
Aji Amarillo pepper	0
Aji amarillo peppers	0
Ají dulce	0
Aji mirasol	0
Aji panca	0
Ajíes	0
Ajitsuke tamago	0
Ajo	188
Ajwain	8
Ajwain (carom seeds)	1
Ajwain seeds	4
Akhuni	0
Alaea clay	0
Alchermes liqueur	0
alcohol	2009576
Aleppo pepper	0
Aligue (crab fat)	0
Alkaline mineral water	0
Alkaline water	831
Alkalizing agent	414
All-purpose cream	50
All-purpose flour	309
Allspice	218
allspice berries	1
almond	74364
Almond cream filling	0
Almond essence	2
Almond extract	2213
Almond filling	1
Almond flour	931
Almond gum	0
Almond meal	248
Almond milk	39879
Almond paste	107
Almonds	85801
Alum	28407
Aluminum foil	847
Amaranth seeds	3
Amaretto	276
Amaretto liqueur	3
Amba	225
Amchur (dried mango powder)	0
Amchur powder	0
American cheese	5641
Ammonium bicarbonate	5
Ammonium carbonate	1
Ammonium chloride	649
Ammonium sulfate	42
Ancho Chilies	0
anchovies	6291
Anchovy broth	1
Anchovy fillets	0
Anchovy paste	18
Andouille sausage	21
Anelli	9
Anise	1454
Anise Extract	0
Anise liqueur	0
Anise oil	12
Anise seed	279
Anise seeds	16
Aniseed	282
Anko (sweet red bean paste)	0
Annatto	1239
Annatto (Color)	13
Annatto extract	33
annatto oil	1
annatto seeds	5
Ant eggs	1
Anti-caking agent	6
Antioxidant	12926
Antioxidant (E300)	0
Antioxidants	10992
Aonori	0
Apple	475057
Apple cider	20885
Apple cider vinegar	11180
Apple concentrate	1
apple pie	1837
Apple sauce	31017
Apples	86422
Applesauce	149406
apricot jam	45
Apricot kernels	56
Apricot paste	1
Apricots	31008
Arabic spices	1
Arborio rice	4
areca nut	3
Arepa	17
Argan oil	409
Aromatics	41
Arrowroot	4462
Arrowroot starch	6
Artichoke hearts	5950
Artichokes	12584
Artificial color	93
Artificial colors	1683
Artificial flavor	123
Artificial flavorings	63
Artificial flavors	1825
Arugula	4333
Asafoetida	46
Ascorbic acid	108261
Ash	40105
Ash gourd	1
Ash plantain curry	0
Asian pear	188
Asparagus	47352
Aspic	4
Assorted meat	1
Assorted vegetables	59
Assorted vegetables (such as lettuce, tomato, cucumber, bell peppers, onions)	0
atchar	2
Attap chee	0
Au jus dip	0
Avgolemono sauce	0
Avial	298
avocado	65197
Avocado cubes	3
Awamori	0
Awara seeds	0
Ayam Goreng	0
Azeitão cheese	0
Azuki bean paste	2
Baba ganoush	95
Baboy	2
Baby corn	179
Baby potatoes	121
Bacalao	13
Baccalà	0
Bacillus subtilis (natto bacteria)	0
bacon	110259
Bacon bits	1060
Bacon drippings	11
Bacon strips	204
Badam	13
Bagel	43189
Bagoong (fermented shrimp paste)	0
Baguette	802
Baguette or bread bun	0
baked beans	16381
baking powder	6677
Baking soda	77734
Baklava	452
Balsamic vinaigrette	758
Balsamic vinaigrette dressing	91
Balsamic vinegar	4076
Bamboo leaves	2
Bamboo shoot	32
bamboo shoots	5330
Bamboo tubes	0
banana	158795
Banana blossom	0
Banana Chips	4332
Banana flower	12
Banana heart	1
Banana ketchup	1
Banana leaf	7
banana leaves	6
Banana liqueur	1
Banana peppers	520
Banana stem	4
bananas	101105
barbecue sauce	3079
Barberries	1
Barley	36361
Barley flour	218
Barley malt	118
Barley malt extract	12
Barley malt syrup	12
Barley rusk	1
Barley Syrup	6
Basil	21998
Basil leaves	26
Basil seeds	11
Basmati rice	459
Batter	5428
batwan fruit	0
bay leaf	302
bay leaves	46
BBQ sauce	2992
Bean curd	38
Bean curd skin	0
bean sprouts	4485
Bean thread noodles	4
beancurd skin	0
beans	313457
Bechamel sauce	5
Bee hoon	0
beef	257766
Beef (such as beef jerky)	0
Beef blood	6
Beef bone broth	43
Beef bone extract	0
Beef bones	6
beef brisket	237
Beef broth	124428
Beef casing	2
Beef chuck	83
Beef cubes	18
Beef dripping	0
Beef drippings	1
Beef eye round roast	0
Beef fat	40
Beef feet	0
Beef fillet	6
Beef flank	18
Beef Gelatine	0
beef heart	16
Beef honeycomb tripe	0
Beef hot dog	143
Beef innards	0
beef intestines	0
beef kidney	31
beef liver	6637
Beef lungs	0
Beef or chicken bones	0
Beef or chicken broth	64
Beef or lamb	1510
Beef or lamb, onions, carrots, potatoes, stock, seasoning	0
beef or pork	2848
Beef or Pork Blood	0
Beef or pork bones	10
Beef or veal bones	0
Beef or veal broth	0
Beef or veal stock	0
Beef or vegetable broth	77285
Beef organs	16
Beef patty	235
Beef rendang	0
Beef ribs	249
Beef roast	578
Beef sausage	200
Beef sausages	19
Beef shank	5
Beef short ribs	56
Beef sirloin	68
Beef skin	27
Beef slices	15
beef spleen	5
Beef steak	555
Beef stock	52
Beef strips	25
beef suet	2
Beef tail	0
Beef tenderloin	552
Beef tendon	0
Beef testicles	0
Beef tongue	14
Beef tripe	3
Beef, pork, water, salt, spices, natural flavors, sodium nitrite	0
Beer	495128
Beer sauce	0
Beeswax	2385
Beetroot	415
Beetroot salad	2
Beets	22168
Belacan	0
bell pepper	4867
bell peppers	19562
Bengal gram	6
Bengal gram flour	0
Beni shoga	0
Berbere	0
Berbere (spice blend)	0
Berbere spice blend	0
Bergamot	530
berries	62532
Besan	11
Besan (chickpea flour)	0
Besan (gram flour)	0
betel leaves	3
betel nuts	21
BHA, BHT, Citric Acid	1
Bicarbonate of soda	71
Bichon au citron	0
Bignay	0
Bigoli	13
Bihun	51
Bile	205602
Bilimbi	0
Biotin	55185
bird's eye chili	0
Bird's eye chili peppers	0
Bird's eye chilies	0
birds	29287
Biscuit	8296
Biscuit crumbs	2
Biscuits	13146
bitter gourd	34
Bitter herbs	67
Bitter melon	324
Bitterleaf	0
Blachan	1
Black bean paste	3
Black bean sauce	7
Black beans	29703
black cardamom	1
Black cardamom pods	0
Black Eyed Peas	3808
black fungus	40
Black glutinous rice	0
Black gram	11
Black gram beans	1
Black gram dal	0
Black olives	1170
black pepper	8172
Black pepper powder	8
black peppercorns	6
Black pudding	28
Black salt	10
Black sesame seed	17
Black sesame seeds	25
Black soybeans	6
Black sugar	14
Black tea	14045
Black tea leaves	7
Black treacle	1
Black vinegar	4
Black-eyed peas	3808
blackberries	28275
Blackberry jam	41
Blood	2442504
blood sausage	15
Blue 1	9428
Blue 1 Lake	23
Blue cheese	7147
Blue cornmeal	1
Blue food coloring	4536
Blue icing	13
Blueberries	52831
Boiled egg	11125
Boiled eggs	9595
Boiled potatoes	767
Boiling water	7411
Bok choy	14808
Bolillo bread	0
Bolillo roll	0
Bologna	9846
Bondiola	0
Bone marrow	392679
Bones	678498
Bonito fish	4
Bonito flakes	7
Bottle gourd	5
Bouillon cube	90
Bouquet garni	1
Bourbon	3273
Bourbon vanilla extract	0
Bourbon whiskey	33
Bracken starch	0
Brain	948134
Braised cabbage	7
Braised pork belly	1
Braised tofu	1
Brandy	50984
Brandy or rum	6
Branston pickle	0
Bread	260302
Bread bun	85
bread crumbs	837
Bread dough	87
Bread flour	127
Bread roll	270
Bread rolls	1489
Bread Rusk	0
bread slices	216
breadcrumbs	294
Breadfruit	8
Breakfast sausage	1668
Brick cheese	19
Brinjal	1
Brioche	204
Brioche bun	72
Broad beans	260
Broccoli	155284
Broken rice	5
broth	266734
Brown gravy	91
brown sugar	12988
Bryndza cheese	0
Buah keluak nuts	0
Bubblegum	406
Bucatini	1
Buckwheat	11570
Buckwheat flour	164
Buckwheat groats	72
Buckwheat noodles	98
Budu (fermented fish sauce)	0
Buffalo meat	54
Buffalo ribs	0
Buko	65
Buko strips	0
Buldak sauce	0
Bulgur	6876
Bulgur wheat	1420
Bull testicles	1
bun	495199
Bún (rice vermicelli)	0
Bunga Kantan flower buds	0
Buns	5932
Burdock root	350
Burdock roots	3
Burger patty	490
Burnt ends	17
butter	232669
Butter oil	3669
Buttercream	74
Butterfish	460
Butterfly pea flowers	1
Buttermilk	29708
Butterscotch chips	17
cabbage	70954
Cabbage leaves	1896
Caciocavallo cheese	0
Cacık	0
Caesar dressing	5196
Cajun seasoning	62
Cake	89624
Cake crumbs	6
Cake flour	14
Cake mix	222
Calamansi	0
Calamansi juice	0
Calamansi or lemon	0
Calamarata	0
Calamares	0
calamari	663
Calcium	1117550
Calcium carbonate	194998
Calcium pantothenate	134
Calcium phosphate	12806
Calcium propionate	15
Calcium Stearate	59
Calcium sulfate	4081
Calf spleen	0
Calf's head	0
Calf's liver	8
Callaloo	5
Calvados	0
Camachile fruit	0
Cambodian mint	0
Camel meat	2
Camembert cheese	8
Campanelle	1
Canadian bacon	956
Candied citron	0
Candied citrus peel	0
Candied fruit	6
Candied fruits	14
Candied lemon peel	0
Candied melon	0
Candied orange and lemon peel	0
Candied orange peel	0
Candied peel	0
candlenut	2
Candlenuts	1
Candy coating	10
Candy melts	1
Canela	45
Canned clams	19
