FOOD NAME	EHR PATIENT COUNT FOR FOOD NAME	GPT-based ingredient list
'O pere e 'o musso	0	Beef | Tomato | Onion | Garlic | Red wine | Olive oil | Salt | Pepper | Bay leaves
'Ota 'ika	0	Fish | Coconut cream | Lime juice | Onion | Tomato | Cucumber | Chili peppers | Salt
'otai	1	Watermelon | Pineapple | Coconut cream | Sugar | Lime juice
Flower tofu	0	Tofu | Edible flowers | Cornstarch | Soy sauce | Sugar | Salt | Vegetable oil
3-in-1	24800	Noodles | Egg | Luncheon Meat
15 Bean Soup	23	15 bean soup mix | Ham hock | Onion | Carrots | Celery | Garlic | Bay leaf | Salt | Pepper | Water
50/50 burger	0	Ground beef | Ground bacon
À la Maréchale	0	Beef fillet | Butter | Shallots | White wine | Demi-glace sauce | Mushrooms | Parsley | Lemon juice | Salt | Pepper
À la zingara	0	Chicken | Ham | Mushrooms | Tomatoes | Peppers | Onions | White wine | Butter | Olive oil
Aachener Printen	0	Honey | Flour | Sugar | Butter | Lebkuchengewürz | gingerbread spice mix | Candied orange and lemon peel | Almonds | Potassium carbonate
Aam panna	0	Raw mango | Sugar | Black salt | Roasted cumin powder | Mint leaves | Water
Aam papad	0	Mango pulp | Sugar | Cardamom powder | Ghee
Aamras	0	Mangoes | Sugar | Cardamom | Saffron | Milk
Aasmi	0	All-purpose flour | Ghee | Sugar | Water | Cardamom pods
Abacha	0	Cassava | Palm oil | Stockfish | Ugba (oil bean seed) | Garden egg | Onion | Pepper | Seasoning cubes | Salt | Crayfish | Utazi leaves
Abacus seeds	0	Yam | Tapioca flour | Dried shrimps | Mushrooms | Black fungus | Wood ear fungus | Carrots | Minced pork | Garlic | Shallots | Dried shiitake mushrooms | Dried cuttlefish | Dried scallops | Dried shrimp | Oyster sauce | Dark soy sauce | Light soy sauce | Sesame oil | White pepper | Sugar | Salt
Abar Khabo	0	Rice | Lentils | Vegetables | Spices
Abbacchio	0	Lamb | Olive oil | Garlic | Rosemary | White wine | Salt | Pepper
Abernethy biscuit	0	Flour | Butter | Sugar | Salt | Baking powder
Abgoosht	0	Lamb | Chickpeas | White beans | Potatoes | Onions | Tomatoes | Turmeric | Salt | Pepper
Abnabat	0	Lamb | Chickpeas | Rice | Onions | Garlic | Cumin | Coriander | Turmeric | Cinnamon | Nutmeg | Cardamom | Cloves | Black pepper | Salt | Water
Aborrajados de plátano maduro	0	Ripe plantains | Flour | Sugar | Cinnamon | Salt | Oil
Ábrystir	0	Lamb | Potatoes | Onions | Carrots | Rutabaga | Flour | Butter | Milk | Salt | Pepper
Abunuabunu	0	Yam | Plantains | Palm oil | Onions | Tomatoes | Scotch bonnet peppers | Salt | Seasoning cubes
Abura-age	0	Soybeans|Water|Salt|Soy sauce
Aburasoba	0	Noodles|Chashu pork|Green onions|Nori|Ajitsuke tamago|Sesame seeds|Soy sauce|Vinegar|Chili oil
Acaçá	0	Cornmeal|Coconut milk|Sugar|Salt
Açaí na tigela	0	Açaí pulp | Frozen banana | Granola | Fresh fruits | Honey | Coconut flakes
Acar	96	Cucumber | Carrot | Shallots | Red chili | Garlic | Ginger | Turmeric | Tamarind | Sugar | Vinegar | Salt
Achappam	0	Rice flour | Coconut milk | Sugar | Black sesame seeds | Oil
Acheke	0	Cassava | Salt | Oil
Achu	14	Palm nut cream | Meat (goat, beef, or chicken) | Stockfish | Smoked fish | Crayfish | Periwinkle | Cocoyam | Waterleaf | Uziza leaves | Seasoning cubes | Salt | Pepper
Acini di pepe	1	Acini di pepe | Chicken broth | Carrots | Celery | Onion | Garlic | Italian seasoning | Salt | Pepper | Parmesan cheese | Fresh parsley
Acıbadem kurabiyesi	0	Almond flour|Powdered sugar|Butter|Egg whites|Almonds|Vanilla extract
Ackee and saltfish	0	Ackee | Saltfish | Onion | Scotch bonnet pepper | Tomato | Black pepper | Oil | Garlic | Thyme
Açorda	0	Bread | Garlic | Cilantro | Olive oil | Water | Salt | Poached eggs
Acorn noodle soup	0	Acorn noodles | Chicken broth | Chicken | Shiitake mushrooms | Carrots | Spinach | Soy sauce | Sesame oil | Green onions
Acquacotta	0	Onion | Celery | Carrot | Garlic | Tomato | Swiss chard | Vegetable broth | Eggs | Bread | Pecorino cheese | Olive oil | Salt | Pepper
Acquasale	0	Bread | Tomatoes | Cucumbers | Red onion | Basil | Olive oil | Vinegar | Salt | Water
Ada	105666	Rice flour | Coconut | Jaggery | Cardamom | Ghee
Ada pradhaman	0	Rice | Jaggery | Coconut milk | Ghee | Cashew nuts | Raisins | Cardamom
Adana kebabı	0	Ground lamb | Ground beef | Onion | Garlic | Red pepper flakes | Cumin | Salt | Black pepper
Adhirasam	0	Rice flour | Jaggery | Ghee | Cardamom pods | Oil
Adobe bread	0	Flour | Water | Salt | Yeast
Adobo	51	Chicken | Soy sauce | Vinegar | Garlic | Bay leaves | Peppercorns
Æbleskiver	0	Flour | Sugar | Baking powder | Salt | Buttermilk | Eggs | Butter
Affogato	1	Vanilla ice cream | Espresso
Afghan	335	Butter | Sugar | Cornflakes | Cocoa | Coconut | Walnuts | Icing sugar | Water
Afghani burger	0	Ground beef | Onion | Garlic | Cumin | Coriander | Paprika | Salt | Black pepper | Egg | Bread crumbs | Oil | Hamburger buns | Lettuce | Tomato | Onion | Cheese | Ketchup | Mayonnaise | Mustard
Afikoman	0	Matzo | Wine | Charoset | Bitter herbs
Afritada	0	Chicken | Potatoes | Carrots | Bell peppers | Tomato sauce | Onion | Garlic | Bay leaves | Peas
Agbeli Kaklo	0	Cassava | Plantains | Palm oil | Onion | Tomatoes | Scotch bonnet peppers | Salt
Agege bread	0	Flour | Sugar | Yeast | Salt | Water | Butter
Agemochi	0	Mochi | Soy sauce | Sugar | Mirin | Cornstarch | Oil
Äggakaka	0	Eggs | Milk | Flour | Salt | Butter | Bacon
Aggala	0	Flour | Sugar | Butter | Eggs | Baking powder | Vanilla essence | Milk
Agnolini	0	Ground beef|Parmesan cheese|Bread crumbs|Eggs|Nutmeg|Salt|Pepper|Chicken broth|Butter
Agnolotti	0	Flour | Eggs | Ricotta cheese | Parmesan cheese | Nutmeg | Salt | Pepper
Aguachile	0	Shrimp | Lime juice | Cucumber | Red onion | Serrano chilies | Avocado | Cilantro | Salt
Aguadito de pollo	0	Chicken | Rice | Cilantro | Onion | Garlic | Carrot | Peas | Corn | Potatoes | Lime | Aji amarillo | Cumin | Salt | Pepper
Agwi-jjim	0	Agwi (monkfish)|Gochujang (Korean red chili paste)|Ginger|Garlic|Onion|Green onion|Carrot|Zucchini|Potato|Radish|Soy sauce|Sugar|Sesame oil|Sesame seeds|Water
Ahriche	0	Wheat flour | Semolina | Butter | Sugar | Almonds | Cinnamon | Water | Orange blossom water
Aila	98	Water | Sugar | Yeast | Grains
Aioli	60	Garlic | Olive oil | Egg yolks | Lemon juice | Salt
Aïoli garni	0	Garlic | Olive oil | Egg yolks | Lemon juice | Salt
Ais kacang	0	Shaved ice | Red beans | Sweet corn | Grass jelly | Attap chee | Cendol | Palm sugar syrup | Rose syrup | Evaporated milk
Aish as-Saraya	0	Sugar | Water | Lemon juice | Rose water | Bread | Pistachios | Whipped cream
Aiyu jelly	0	Aiyu seeds | Water | Sugar | Lemon juice
Ajapsandali	0	Eggplant | Potatoes | Bell peppers | Tomatoes | Onions | Garlic | Herbs (such as cilantro, parsley) | Spices (such as paprika, cayenne pepper) | Oil | Salt | Pepper
Ajdov Kruh	0	Buckwheat flour | Water | Salt | Yeast | Honey | Olive oil
Ajdovi žganci	0	Buckwheat flour | Water | Salt | Lard
Ajethna	0	Coconut | Tamarind | Jaggery | Red chili | Turmeric | Mustard seeds | Curry leaves | Asafoetida | Salt
Ají	0	Chili peppers|Lime juice|Garlic|Onion|Cilantro|Salt
Ají de gallina	0	Chicken | Aji amarillo peppers | Onion | Garlic | Bread | Milk | Walnuts | Parmesan cheese | Salt | Pepper | Oil | Potatoes | Hard-boiled eggs
Ajiaco	1	Chicken | Corn | Potatoes | Guascas | Avocado | Cream | Capers | Rice
Ajika	0	Red chili peppers|Garlic|Coriander|Fenugreek|Salt|Herbs
Ajilimójili	0	Peanuts|Garlic|Onion|Tomato|Chili peppers|Palm oil|Salt
Ajoblanco	0	Almonds | Garlic | Bread | Olive oil | Vinegar | Salt | Water
Ajvar	11	Red bell peppers | Eggplant | Garlic | Olive oil | Vinegar | Salt
Akanés	0	Chicken | Onions | Tomatoes | Bell peppers | Garlic | Ginger | Scotch bonnet peppers | Vegetable oil | Salt | Black pepper | Thyme | Curry powder | Stock cubes | Water | Rice
Akara	16	Black-eyed peas|Onion|Scotch bonnet pepper|Salt|Vegetable oil
Akashiyaki	0	Flour | Eggs | Dashi | Soy sauce | Mirin | Green onions
Akhni	0	Rice | Meat (usually lamb or chicken) | Onions | Tomatoes | Potatoes | Whole spices (such as cinnamon, cardamom, cloves) | Ground spices (such as turmeric, cumin, coriander) | Garlic | Ginger | Chili peppers | Yogurt | Ghee | Water
Akhuni	0	Akhuni|Naga King Chili|Ginger|Garlic|Salt
Akki rotti	0	Rice flour | Grated coconut | Green chilies | Cumin seeds | Coriander leaves | Salt | Water
Akok	1	Coconut milk | Rice flour | Sugar | Pandan leaves
Akpan	8	Coconut | Sugar | Water | Cornmeal | Salt
Akuri	1	Eggs | Onions | Tomatoes | Green chilies | Ginger | Garlic | Turmeric | Red chili powder | Cumin seeds | Fresh coriander
Al pastor	6	Pork | Pineapple | Onion | Cilantro | Lime | Chili peppers | Vinegar | Spices
Alaea salt	0	Sea salt | Alaea clay
Alambre	46	Beef | Bell peppers | Onions | Bacon | Cheese | Salsa | Tortillas
Alaminos longganisa	0	Ground pork | Vinegar | Garlic | Salt | Pepper | Sugar | Paprika | Annatto seeds
Alaskan ice cream	0	Salmon | Seal oil | Berries | Snow
Albaloo polo	0	Basmati rice | Sour cherries | Chicken | Onion | Sugar | Saffron | Oil | Salt | Pepper
Albap	1	Rice | Egg | Carrot | Zucchini | Onion | Ground beef | Soy sauce | Sesame oil | Sesame seeds | Salt | Pepper
Alcapurria	0	Green plantains | Taro root | Achiote oil | Salt | Water | Ground beef or pork
Alcohol-infused whipped cream	1	Heavy cream | Sugar | Alcohol
Alegría	10	Amaranth seeds | Honey | Sugar | Peanuts
Alexandertorte	0	Butter | Sugar | Eggs | Almonds | Dark chocolate | Rum | Heavy cream | Powdered sugar | Cocoa powder
Alfajor	0	Flour | Cornstarch | Sugar | Butter | Dulce de leche
Algerian baklawa	0	Phyllo dough | Almonds | Walnuts | Sugar | Butter | Orange blossom water | Honey | Lemon juice | Cinnamon | Cloves |
Algerian couscous	0	Couscous | Lamb or chicken | Onions | Carrots | Zucchini | Chickpeas | Tomatoes | Olive oil | Garlic | Harissa | Ras el hanout | Cumin | Coriander | Paprika | Salt | Pepper | Water
Alheira	0	Chicken | Bread | Olive oil | Garlic | Paprika | Salt | Wine
Alicot	0	Beef | Pork | Lamb | Chicken | Duck | Sausage | White beans | Carrots | Turnips | Potatoes | Leeks | Onions | Garlic | Tomato paste | Bouquet garni | Red wine | Beef broth
Aligot	0	Potatoes | Butter | Garlic | Cream | Cheese
Aligue fried rice	0	Cooked rice | Aligue (crab fat) | Garlic | Onion | Green onions | Eggs | Soy sauce | Salt | Pepper
