Wikipedia food name	milk	eggs	fish	shellfish	tree nuts	peanuts	wheat	soy
O pere e  o musso	0	0	0	0	0	0	0	0
Ota  ika	0	0	1	0	0	0	0	0
otai	0	0	0	0	0	0	0	0
Flower tofu	0	0	0	0	0	0	0	1
3-in-1	0	1	0	0	0	0	1	0
15 Bean Soup	0	0	0	0	0	0	0	0
50/50 burger	0	0	0	0	0	0	0	0
À la Maréchale	0	0	0	0	0	0	0	0
À la zingara	0	0	0	0	0	0	0	0
Aachener Printen	0	0	0	0	1	0	1	0
Aam panna	0	0	0	0	0	0	0	0
Aam papad	0	0	0	0	0	0	0	0
Aamras	1	0	0	0	0	0	0	0
Aasmi	0	0	0	0	0	0	1	0
Abacha	0	0	1	0	0	0	0	0
Abacus seeds	0	0	1	1	0	0	0	0
Abar Khabo	0	0	0	0	0	0	1	0
Abbacchio	0	0	0	0	0	0	0	0
Abernethy biscuit	0	0	0	0	0	0	1	0
Abgoosht	0	0	0	0	0	0	0	0
Abnabat	0	0	0	0	0	0	0	0
Aborrajados de plátano maduro	0	0	0	0	0	0	1	0
Ábrystir	1	0	0	0	0	0	1	0
Abunuabunu	0	0	0	0	0	0	0	0
Abura-age	0	0	0	0	0	0	0	1
Aburasoba	0	0	0	0	0	0	1	1
Acaçá	0	0	0	0	0	0	1	0
Açaí na tigela	0	0	0	0	1	0	0	0
Acar	0	0	0	0	0	0	0	0
Achappam	0	0	0	0	0	0	1	0
Acheke	0	0	0	0	0	0	0	0
Achu	0	0	1	1	0	0	0	0
Acini di pepe	1	0	0	0	0	0	1	0
Acıbadem kurabiyesi	0	1	0	0	1	0	0	0
Ackee and saltfish	0	0	1	0	0	0	0	0
Açorda	0	1	0	0	0	0	1	0
Acornnoodle soup	0	0	0	0	0	0	0	1
Acquacotta	0	1	0	0	0	0	1	0
Acquasale	0	0	0	0	0	0	1	0
Ada	0	0	0	0	0	0	0	0
Ada pradhaman	1	0	0	0	1	0	0	0
Adana kebabı	0	0	0	0	0	0	0	0
Adhirasam	0	0	0	0	0	0	1	0
Adobe bread	0	0	0	0	0	0	1	0
Adobo	0	0	0	0	0	0	0	1
Æbleskiver	1	1	0	0	0	0	1	0
Affogato	1	0	0	0	0	0	0	0
Afghan	0	0	0	0	1	0	0	0
Afghani burger	1	1	0	0	0	0	1	0
Afikoman	0	0	0	0	0	0	1	0
